Data Inclusão,Hora Inclusão,Data Evento,Hora Evento,IMEI,Sequência,Tipo Mensagem,Máscara,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,GNSS UTC Time,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On
05/03/2025,16:40:27,05/03/2025,19:40:33,8674886293973,0x26c9,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12858,0000,0000,00,00,12,00,1832,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:40:59,05/03/2025,19:41:05,8674886293973,0x26ca,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,12858,0000,0000,01,00,22,00,32,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:41:51,05/03/2025,19:41:56,8674886293973,0x26cb,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12881,0000,0000,00,00,11,00,51,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:42:08,& "C:/Users/Larissa Rocha/AppData/Local/Programs/Python/Python313/python.exe" "c:/Users/Larissa Rocha/Desktop/decoder/servergv58cg.py"
05/03/2025,16:42:32,05/03/2025,19:42:37,8674886293973,0x26cc,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,12939,0000,0000,01,00,22,00,41,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:42:42,05/03/2025,19:42:48,8674886293973,0x26cd,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12818,0000,0000,00,00,12,00,10,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:42:57,,,,,ACK
05/03/2025,16:54:58,05/03/2025,19:55:04,8674886293973,0x26dd,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12925,0000,0000,00,00,12,00,94,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:54:58,05/03/2025,19:55:04,8674886293973,0x26de,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,12925,0000,0000,00,00,12,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:54:58,05/03/2025,19:55:04,8674886293973,0x26df,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,12925,0000,0000,00,00,11,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:55:14,05/03/2025,19:55:20,8674886293973,0x26e0,GTIGN,0x00fe7fbf,802003,0x0902,0x0915,100,12928,0000,0000,01,00,21,00,17,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:55:14,05/03/2025,19:55:20,8674886293973,0x26e1,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,12928,0000,0000,01,00,21,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:55:24,05/03/2025,19:55:30,8674886293973,0x26e2,GTSTT,0x00fe7fbf,802003,0x0902,0x0915,100,12928,0000,0000,01,00,22,00,-,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
05/03/2025,16:56:04,05/03/2025,19:56:10,8674886293973,0x26e3,GTIGF,0x00fe7fbf,802003,0x0902,0x0915,100,12927,0000,0000,00,00,12,00,50,00,000000,0000,0x0000,00000000,00000000,00000000000000,0724,0006,c4a7,07a7140c,0x000000,0x0000000000,0x000000,0x000000000000,-,-
