Data,Hora,Origem,Payload
10/03/2025,13:53:29,D,2b41434b0b6f2680200309020915564a5806025d610300ffff07e9030a0d350a3209b2580d0a
10/03/2025,13:53:29,S,+SACK:3209$
10/03/2025,13:53:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0d3534320a75360d0a
10/03/2025,13:53:50,S,+SACK:GTHBD,8020030902,320a$
10/03/2025,13:54:05,D,2b4556540e00fe7fbf006a80200309020915564a5806025d61036431d100000000000011000000010801000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d3607320bd7310d0a
10/03/2025,13:54:05,S,+SACK:320b$
10/03/2025,13:54:13,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d360e320ce2110d0a
10/03/2025,13:54:13,S,+SACK:320c$
10/03/2025,13:55:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d370d320d3d550d0a
10/03/2025,13:55:11,S,+SACK:320d$
10/03/2025,13:55:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0d3734320ed8da0d0a
10/03/2025,13:55:50,S,+SACK:GTHBD,8020030902,320e$
10/03/2025,13:56:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d380d320fc9f90d0a
10/03/2025,13:56:11,S,+SACK:320f$
10/03/2025,13:57:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d390d3210bc120d0a
10/03/2025,13:57:11,S,+SACK:3210$
10/03/2025,13:57:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0d39343211995e0d0a
10/03/2025,13:57:50,S,+SACK:GTHBD,8020030902,3211$
10/03/2025,13:58:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d3a0d3212e70d0d0a
10/03/2025,13:58:11,S,+SACK:3212$
10/03/2025,13:59:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0d3b0d321381980d0a
10/03/2025,13:59:11,S,+SACK:3213$
10/03/2025,13:59:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0d3b34321424930d0a
10/03/2025,13:59:50,S,+SACK:GTHBD,8020030902,3214$
10/03/2025,14:00:12,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e000d3215ddfb0d0a
10/03/2025,14:00:12,S,+SACK:3215$
10/03/2025,14:01:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e010d32169b2c0d0a
10/03/2025,14:01:11,S,+SACK:3216$
10/03/2025,14:01:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0e01343217be600d0a
10/03/2025,14:01:50,S,+SACK:GTHBD,8020030902,3217$
10/03/2025,14:02:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e020d3218e13e0d0a
10/03/2025,14:02:11,S,+SACK:3218$
10/03/2025,14:03:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e030d321987ab0d0a
10/03/2025,14:03:11,S,+SACK:3219$
10/03/2025,14:03:50,D,2b484244ef2280200309020915564a5806025d610307e9030a0e0334321a82a50d0a
10/03/2025,14:03:50,S,+SACK:GTHBD,8020030902,321a$
10/03/2025,14:04:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e040d321b16450d0a
10/03/2025,14:04:11,S,+SACK:321b$
10/03/2025,14:05:11,D,2b5253500700fe2fbf006380200309020915564a5806025d610364000000001a001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e050d321c10160d0a
10/03/2025,14:05:11,S,+SACK:321c$
10/03/2025,14:05:51,D,2b484244ef2280200309020915564a5806025d610307e9030a0e0534321dd5db0d0a
10/03/2025,14:05:51,S,+SACK:GTHBD,8020030902,321d$
10/03/2025,14:06:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e060d321e4b090d0a
10/03/2025,14:06:11,S,+SACK:321e$
10/03/2025,14:07:11,D,2b5253500700fe2fbf006380200309020915564a5806025d6103640000000011001001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030a0e070d321f2d9c0d0a
10/03/2025,14:07:11,S,+SACK:321f$
10/03/2025,14:07:51,D,2b484244ef2280200309020915564a5806025d610307e9030a0e07343220df4d0d0a
10/03/2025,14:07:51,S,+SACK:GTHBD,8020030902,3220$
