Data,Hora,Origem,Payload
05/03/2025,16:40:27,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364323a00000000000012000000072801000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513282126c95bb30d0a
05/03/2025,16:40:27,S,+SACK:26c9$
05/03/2025,16:40:59,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364323a00000000010022000000002001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513290526cac7760d0a
05/03/2025,16:40:59,S,+SACK:26ca$
05/03/2025,16:41:51,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364325100000000000011000000003301000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513293826cba3490d0a
05/03/2025,16:41:51,S,+SACK:26cb$
05/03/2025,16:42:08,S,& "C:/Users/Larissa Rocha/AppData/Local/Programs/Python/Python313/python.exe" "c:/Users/Larissa Rocha/Desktop/decoder/servergv58cg.py"
05/03/2025,16:42:32,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364328b00000000010022000000002901000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305132a2526cc94360d0a
05/03/2025,16:42:32,S,+SACK:26cc$
05/03/2025,16:42:42,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364321200000000000012000000000a01000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e90305132a3026cdaed70d0a
05/03/2025,16:42:42,S,+SACK:26cd$
05/03/2025,16:42:56,D,2b41434b3a475452544f2c3639383430342c3836323638393037303332363535352c2c5245424f4f542c303036462c32303235303330353139343330312c3035313824
05/03/2025,16:42:56,S,+SACK:2c30$
05/03/2025,16:54:58,D,2b4556540e00fe7fbf006a80200309020915564a5806025d610364327d00000000000012000000005e01000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513370426ddd86a0d0a
05/03/2025,16:54:58,S,+SACK:26dd$
05/03/2025,16:54:58,D,2b4556540900fe7fbf006680200309020915564a5806025d610364327d000000000000120001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513370426de64ad0d0a
05/03/2025,16:54:58,S,+SACK:26de$
05/03/2025,16:54:58,D,2b4556540900fe7fbf006680200309020915564a5806025d610364327d000000000000110001000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513370426df40880d0a
05/03/2025,16:54:58,S,+SACK:26df$
05/03/2025,16:55:14,D,2b4556540d00fe7fbf006a80200309020915564a5806025d610364328000000000010021000000001101000000000000000000000000000000000000000000000007240006c4a707a7140c00000000000000000000000000000000000007e9030513371426e0c9cd0d0a
05/03/2025,16:55:14,S,+SACK:26e0$
