Data,Hora,Origem,Payload
07/04/2025,13:33:50,D,2b484244ff2280200309020915475635384347000007e904070d072c21e9e5510d0a
07/04/2025,13:33:50,S,+SACK:GTHBD,8020030902,21e9$
07/04/2025,13:33:50,D,2b4556540c00fe7fbf006680200309020915564a5806025d6103642cfa00000000010222000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d201a223a158f0d0a
07/04/2025,13:33:51,S,+SACK:223a$
07/04/2025,13:33:51,D,2b4256540e00fe7fbf006a80200309020915564a5806025d6103642d010000000000021200000003c50100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070b233621db393d0d0a
07/04/2025,13:33:51,S,+SACK:21db$
07/04/2025,13:33:51,D,2b4256540d00fe7fbf006a80200309020915564a5806025d6103642d010000000001022200000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070b233721dcaddd0d0a
07/04/2025,13:33:51,S,+SACK:21dc$
07/04/2025,13:33:51,D,2b4253501000fe7fbf006780200309020915564a5806025d6103642d010000000001022200010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070b233821ddcb140d0a
07/04/2025,13:33:51,S,+SACK:21dd$
07/04/2025,13:33:51,D,2b4256543000fe7fbf006780200309020915564a5806025d61036400000000000000024100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d072d21eaf2060d0a
07/04/2025,13:33:51,S,+SACK:21ea$
07/04/2025,13:33:51,D,2b4256540d00fe7fbf006a80200309020915564a5806025d6103642d2a0000000001022100000000040100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d072f21eba6090d0a
07/04/2025,13:33:51,S,+SACK:21eb$
07/04/2025,13:33:51,D,2b4256540300fe7fbf006680200309020915564a5806025d6103642d2a00000000010222000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d072f21ec37590d0a
07/04/2025,13:33:51,S,+SACK:21ec$
07/04/2025,13:33:51,D,2b4256540700fe7fbf006680200309020915564a5806025d6103642cf600000000010222000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d073a21eda7370d0a
07/04/2025,13:33:51,S,+SACK:21ed$
07/04/2025,13:33:51,D,2b4256540800fe7fbf006680200309020915564a5806025d6103642cf600000000010222000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d080021ee99660d0a
07/04/2025,13:33:51,S,+SACK:21ee$
07/04/2025,13:33:52,D,2b4253500b00fe7fbf006780200309020915564a5806025d6103642cf90000000001022200000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d0a1021ef19160d0a
07/04/2025,13:33:52,S,+SACK:21ef$
07/04/2025,13:33:52,D,2b4253501000fe7fbf006780200309020915564a5806025d6103642cf90000000001022200000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d0a1021f05fd00d0a
07/04/2025,13:33:52,S,+SACK:21f0$
07/04/2025,13:33:52,D,2b4256543400fe7fbf008280200309020915564a5806025d6103602cf400000000010222000d0347563538434725494d454900780541296d6300004cb04ad2cb920100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d0c3221f17eb50d0a
07/04/2025,13:33:52,S,+SACK:21f1$
07/04/2025,13:33:52,D,2b4256540e00fe7fbf006a80200309020915564a5806025d6103582cf30000000000021200000001cc0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d0f1b21f3642e0d0a
07/04/2025,13:33:52,S,+SACK:21f3$
07/04/2025,13:33:52,D,2b4256540d00fe7fbf006a80200309020915564a5806025d6103582cf30000000001022200000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007e904070d0f1c21f48b150d0a
07/04/2025,13:33:52,S,+SACK:21f4$
